set,memory,input,horizon_s,clip,err_median_px,err_iqr_px,lock_on_s,path_median_px,path_last_px,path_lock_on_s,period_ratio,auc,latency_s,fp_per_min,unseen_fraction,offset_x_px,offset_y_px,n_steps,n_clips,n_break_clips
development,phasemap,snn,0.05,pooled (8 clips),16.74167674904989,14.562067264752397,24.19,15.15393393831983,15.176030767337123,18.15,0.9976480198404719,0.9827826813428524,0.3694999999999995,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,phasemap,snn,0.1,pooled (8 clips),18.521777327502413,15.217060775677165,24.86,15.139138552569042,15.176030767337123,18.15,0.9976480198404719,0.9827826813428524,0.3694999999999995,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,phasemap,snn,0.2,pooled (8 clips),20.685447926158304,16.97155330384249,26.905,15.092312179788303,15.176030767337123,18.15,0.9976480198404719,0.9827826813428524,0.3694999999999995,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,snn_phasemap,centroid,0.025,pooled (8 clips),10.8913174738984,9.720693099944878,19.035,12.954688856718288,11.99635921819916,15.7025,1.0024672522213756,0.9806641167293817,0.2320000000000002,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,snn_phasemap,centroid,0.05,pooled (8 clips),11.735026670639858,11.606420609408033,19.0075,12.9481271503439,11.99635921819916,15.7025,1.0024672522213756,0.9806641167293817,0.2320000000000002,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,snn_phasemap,centroid,0.1,pooled (8 clips),13.476287245896318,15.616168619377245,24.825,12.927259620847451,11.99635921819916,15.7025,1.0024672522213756,0.9806641167293817,0.2320000000000002,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,snn_phasemap,centroid,0.2,pooled (8 clips),19.90656939675057,20.54241534121349,24.795,12.922659378805488,11.99635921819916,15.7025,1.0024672522213756,0.9806641167293817,0.2320000000000002,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,snn_phasemap,snn,0.025,pooled (8 clips),16.65196763289288,15.204166294366296,24.755,24.487795656052548,26.798515177053964,15.8025,0.9988317436613499,0.9084469296032436,0.4194999999999993,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,snn_phasemap,snn,0.05,pooled (8 clips),16.507679228964754,17.150786851467373,24.95,24.4382886158762,26.798515177053964,15.8025,0.9986346258326786,0.9084469296032436,0.4194999999999993,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,snn_phasemap,snn,0.1,pooled (8 clips),17.702941784229907,18.969775113156334,24.85,24.379288030814948,26.798515177053964,15.8025,0.9983854555070217,0.9084469296032436,0.4194999999999993,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,snn_phasemap,snn,0.2,pooled (8 clips),22.711737190025232,20.34819920637184,27.115000000000002,24.255352422016188,26.798515177053964,15.8025,0.9977011849125794,0.9084469296032436,0.4194999999999993,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
