set,clip,setup,memory,input,offset,horizon_s,fde_px,fde_iqr_px,lock_on_s,path_median_px,path_last_px,period_ratio,auc,latency_s,fp_per_min,n_steps,unseen_fraction
development,small_01,pendulum,phasemap,snn,removed,0.025,8.89037454187096,6.801964183443394,24.775000000000002,10.509214564185616,11.035343952459911,0.998963370576189,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,snn,as_is,0.05,14.389801777459393,10.76193127436242,inf,14.596257938713375,17.487777664835995,0.998963370576189,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,snn,removed,0.05,9.358121269729729,6.8158380054085255,24.79,10.509214564185616,11.035343952459911,0.998963370576189,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,snn,as_is,0.1,15.656104368482369,10.579454378594153,inf,14.596257938713375,17.487777664835995,0.998963370576189,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,snn,removed,0.1,10.735100414775301,8.115475073488113,24.79,10.509214564185616,11.035343952459911,0.998963370576189,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,snn,as_is,0.2,18.302156815934755,10.862469904740845,inf,14.596257938713375,17.487777664835995,0.998963370576189,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,snn,removed,0.2,13.306812759898428,12.849336150493112,24.69,10.509214564185616,11.035343952459911,0.998963370576189,nan,nan,0.0,5006,0.0
development,small_01,pendulum,kalman,snn,as_is,0.025,14.542941139676593,10.721914158901116,inf,16.049797712869783,17.842433048235943,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,kalman,snn,removed,0.025,10.401359111344346,8.343535336392593,24.915,11.475020607298532,13.070224768137892,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,kalman,snn,as_is,0.05,15.38084382069708,11.831113034343728,inf,16.049797712869783,17.842433048235943,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,kalman,snn,removed,0.05,11.866368575693778,9.031538667040387,24.925,11.475020607298532,13.070224768137892,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,kalman,snn,as_is,0.1,16.96621659222888,13.022448478125796,24.905,16.049797712869783,17.842433048235943,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,kalman,snn,removed,0.1,13.521036759218191,10.010872875684822,inf,11.475020607298532,13.070224768137892,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,kalman,snn,as_is,0.2,17.54753606132625,10.444222417853824,24.785,16.049797712869783,17.842433048235943,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,kalman,snn,removed,0.2,12.947447476884989,9.257239561395238,24.785,11.475020607298532,13.070224768137892,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,snn,as_is,0.025,17.072519854138097,10.416470498009035,24.865000000000002,14.88343185366896,14.894209254775166,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,snn,removed,0.025,12.55603835172708,10.320586020548763,24.59,10.041101741755737,7.2027827424345645,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,snn,as_is,0.05,17.518983320501775,10.695250923489134,24.845,14.88343185366896,14.894209254775166,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,snn,removed,0.05,13.291503742911587,10.99407560326032,24.57,10.041101741755737,7.2027827424345645,1.009262410926349,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,snn,as_is,0.1,18.316136367195988,11.324571263939035,24.795,14.88343185366896,14.894209254775166,1.009262410926349,nan,nan,0.0,5006,0.0
