set,clip,setup,memory,input,offset,horizon_s,fde_px,fde_iqr_px,lock_on_s,path_median_px,path_last_px,period_ratio,auc,latency_s,fp_per_min,n_steps,unseen_fraction
held_out,small_03,pendulum,harmonic,centroid,removed,0.025,12.153883146333241,9.070362462665049,inf,12.415948324505415,14.16597674036588,1.009501803374038,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,centroid,as_is,0.05,93.86812481593236,8.673615801358437,inf,90.37316265041892,89.86406002246241,1.009501803374038,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,centroid,removed,0.05,12.412965943661675,9.14212759791125,inf,12.415948324505415,14.16597674036588,1.009501803374038,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,centroid,as_is,0.1,94.03632980150503,8.692787324001955,inf,90.37316265041892,89.86406002246241,1.009501803374038,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,centroid,removed,0.1,12.930118698438866,9.295023883295725,inf,12.415948324505415,14.16597674036588,1.009501803374038,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,centroid,as_is,0.2,94.1253111502611,8.655236857918155,inf,90.37316265041892,89.86406002246241,1.009501803374038,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,centroid,removed,0.2,13.101417362347728,9.513404985137557,inf,12.415948324505415,14.16597674036588,1.009501803374038,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,constant_velocity,centroid,as_is,0.025,92.53629984653884,29.447462520628974,inf,nan,nan,nan,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,constant_velocity,centroid,removed,0.025,16.6851643583702,12.910597168840727,24.95,nan,nan,nan,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,constant_velocity,centroid,as_is,0.05,91.86911830923296,37.11493193528233,inf,nan,nan,nan,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,constant_velocity,centroid,removed,0.05,19.91565794753498,18.416472729141667,24.945,nan,nan,nan,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,constant_velocity,centroid,as_is,0.1,90.96472505879885,51.78433558382977,inf,nan,nan,nan,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,constant_velocity,centroid,removed,0.1,28.290192151205346,27.234176162018105,inf,nan,nan,nan,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,constant_velocity,centroid,as_is,0.2,97.23375272126242,71.61895301217737,inf,nan,nan,nan,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,constant_velocity,centroid,removed,0.2,55.20064001098471,36.60217722774186,inf,nan,nan,nan,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,snn,as_is,0.025,9.925830339422067,9.110610984905314,24.900000000000002,14.039993094129503,25.707204132686197,0.9887946251914824,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,snn,removed,0.025,8.979413644890549,8.937898226440641,24.88,12.432803274790164,21.80288359093467,0.9887946251914824,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,snn,as_is,0.05,10.09948026242819,8.761252748335629,24.895,14.039993094129503,25.707204132686197,0.9887946251914824,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,snn,removed,0.05,8.91319538197752,8.718469339421645,24.87,12.432803274790164,21.80288359093467,0.9887946251914824,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,snn,as_is,0.1,10.659758551868425,8.903370558593009,24.88,14.039993094129503,25.707204132686197,0.9887946251914824,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,snn,removed,0.1,9.57126756208789,8.68193670380191,24.855,12.432803274790164,21.80288359093467,0.9887946251914824,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,snn,as_is,0.2,12.043435651186249,9.502797345916523,inf,14.039993094129503,25.707204132686197,0.9887946251914824,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,snn,removed,0.2,11.126019458720423,9.185494483987249,inf,12.432803274790164,21.80288359093467,0.9887946251914824,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,snn,as_is,0.025,8.611791496962736,8.221467091323243,24.900000000000002,11.33774967853307,23.269743916319765,1.0020677681369183,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,snn,removed,0.025,8.136594115959328,7.725500534599494,24.89,12.68158633553735,19.69543698633472,1.0020677681369183,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,snn,as_is,0.05,8.45818040433841,8.474417735999205,24.89,11.33774967853307,23.269743916319765,1.0020677681369183,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,snn,removed,0.05,7.961738855733848,7.241576467313829,24.875,12.68158633553735,19.69543698633472,1.0020677681369183,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,snn,as_is,0.1,9.623321117369265,9.398315663065164,24.865000000000002,11.33774967853307,23.269743916319765,1.0020677681369183,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,snn,removed,0.1,8.985618002729677,7.357331925796888,24.755,12.68158633553735,19.69543698633472,1.0020677681369183,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,snn,as_is,0.2,10.291109692940532,8.875281399419848,24.75,11.33774967853307,23.269743916319765,1.0020677681369183,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,snn,removed,0.2,9.87168516589956,8.062402020732762,24.655,12.68158633553735,19.69543698633472,1.0020677681369183,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,kalman,snn,as_is,0.025,11.166537063018485,9.296864391927134,24.900000000000002,14.06436302467573,27.1286474057004,1.0036631578947202,nan,nan,4.796163069544467,5004,0.0
held_out,small_03,pendulum,kalman,snn,removed,0.025,10.246162707767114,10.221918216580697,24.895,13.5789367321262,23.63098120098092,1.0036631578947202,nan,nan,4.796163069544467,5004,0.0
held_out,small_03,pendulum,kalman,snn,as_is,0.05,12.215472583972296,10.352142042175405,24.900000000000002,14.06436302467573,27.1286474057004,1.0036631578947202,nan,nan,4.796163069544467,5004,0.0
held_out,small_03,pendulum,kalman,snn,removed,0.05,11.476935269622972,9.877583361852716,24.895,13.5789367321262,23.63098120098092,1.0036631578947202,nan,nan,4.796163069544467,5004,0.0
held_out,small_03,pendulum,kalman,snn,as_is,0.1,13.74138741736656,10.255039513427683,24.895,14.06436302467573,27.1286474057004,1.0036631578947202,nan,nan,4.796163069544467,5004,0.0
held_out,small_03,pendulum,kalman,snn,removed,0.1,13.143456592344148,9.215219646112196,24.89,13.5789367321262,23.63098120098092,1.0036631578947202,nan,nan,4.796163069544467,5004,0.0
held_out,small_03,pendulum,kalman,snn,as_is,0.2,11.22401422823767,7.3988825780864005,24.76,14.06436302467573,27.1286474057004,1.0036631578947202,nan,nan,4.796163069544467,5004,0.0
held_out,small_03,pendulum,kalman,snn,removed,0.2,11.038461188485774,8.507360683499403,24.75,13.5789367321262,23.63098120098092,1.0036631578947202,nan,nan,4.796163069544467,5004,0.0
held_out,small_03,pendulum,harmonic,snn,as_is,0.025,10.489098374544268,6.483558201795578,24.91,11.49855612026423,22.379797854351303,1.0036631578947202,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,snn,removed,0.025,10.669908287348079,6.823677378245125,24.885,12.485714454741725,18.999541298900006,1.0036631578947202,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,snn,as_is,0.05,10.526681124292477,6.657609470854386,24.895,11.49855612026423,22.379797854351303,1.0036631578947202,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,snn,removed,0.05,10.678561877058774,6.865415203315143,24.865000000000002,12.485714454741725,18.999541298900006,1.0036631578947202,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,snn,as_is,0.1,10.630823179379114,6.744438293024998,24.85,11.49855612026423,22.379797854351303,1.0036631578947202,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,harmonic,snn,removed,0.1,10.727291525629308,6.940044953195538,24.82,12.485714454741725,18.999541298900006,1.0036631578947202,nan,nan,0.0,5004,0.0
